categorie,vraag,optie_a,optie_b,optie_c,optie_d,correcte_optie,moeilijkheid
Taalvaardigheid,Wat is het meervoud van 'crisis'?,crisisen,crisissen,crisi,crises,D,2
Rekenen,Wat is 25% van 240?,60,50,55,65,A,3
Algemene kennis,Wat is het grootste continent?,Afrika,Azië,Europa,Amerika,B,1
Logisch redeneren,"Voltooi de reeks: 2, 4, 8, 16, ?",32,30,36,24,A,3
Taalvaardigheid,Wat is de juiste spelling?,pannenkoek,pannekoek,panne koek,panenkoek,A,2
Rekenen,"Wat is het gemiddelde van 8, 12 en 16?",12,11,13,14,A,2
Algemene kennis,Wat is de hoofdstad van Noorwegen?,Helsinki,Oslo,Stockholm,Kopenhagen,B,3
Logisch redeneren,"Voltooi de reeks: 2, 4, 8, 16, ?",32,30,36,24,A,1
Taalvaardigheid,Welke zin is correct?,Hun zijn daar,Zij hebben gewonnen,Me moeder belt,Jou boek ligt daar,B,3
Rekenen,Wat is 25% van 240?,60,50,55,65,A,1
Algemene kennis,Wat is de hoofdstad van Noorwegen?,Helsinki,Oslo,Stockholm,Kopenhagen,B,1
Logisch redeneren,"Als 3 = 6 en 4 = 8, wat is dan 5?",9,10,12,11,B,2
Taalvaardigheid,Welke zin is correct?,Hun zijn daar,Zij hebben gewonnen,Me moeder belt,Jou boek ligt daar,B,3
Rekenen,"Wat is het gemiddelde van 8, 12 en 16?",12,11,13,14,A,1
Algemene kennis,Wie schilderde de Nachtwacht?,Van Gogh,Vermeer,Rembrandt,Mondriaan,C,1
Logisch redeneren,"Als alle X Y zijn en geen Y Z is, wat volgt logisch?",X zijn Z,Sommige X zijn Z,Geen X is Z,Alle Z zijn X,C,2
Taalvaardigheid,Welke zin is correct?,Hun zijn daar,Zij hebben gewonnen,Me moeder belt,Jou boek ligt daar,B,3
Rekenen,Wat is 25% van 240?,60,50,55,65,A,1
Algemene kennis,Wie schilderde de Nachtwacht?,Van Gogh,Vermeer,Rembrandt,Mondriaan,C,3
Logisch redeneren,"Als alle X Y zijn en geen Y Z is, wat volgt logisch?",X zijn Z,Sommige X zijn Z,Geen X is Z,Alle Z zijn X,C,2
Taalvaardigheid,Wat is de juiste spelling?,pannenkoek,pannekoek,panne koek,panenkoek,A,3
Rekenen,Wat is 25% van 240?,60,50,55,65,A,3
Algemene kennis,Wat is het grootste continent?,Afrika,Azië,Europa,Amerika,B,2
Logisch redeneren,"Als 3 = 6 en 4 = 8, wat is dan 5?",9,10,12,11,B,2
Taalvaardigheid,Welke zin is correct?,Hun zijn daar,Zij hebben gewonnen,Me moeder belt,Jou boek ligt daar,B,3
Rekenen,"Wat is het gemiddelde van 8, 12 en 16?",12,11,13,14,A,3
Algemene kennis,Wat is de hoofdstad van Noorwegen?,Helsinki,Oslo,Stockholm,Kopenhagen,B,3
Logisch redeneren,"Als 3 = 6 en 4 = 8, wat is dan 5?",9,10,12,11,B,1
Taalvaardigheid,Wat is de juiste spelling?,pannenkoek,pannekoek,panne koek,panenkoek,A,2
Rekenen,"Wat is het gemiddelde van 8, 12 en 16?",12,11,13,14,A,3
Algemene kennis,Wat is de hoofdstad van Noorwegen?,Helsinki,Oslo,Stockholm,Kopenhagen,B,2
Logisch redeneren,"Voltooi de reeks: 2, 4, 8, 16, ?",32,30,36,24,A,2
Taalvaardigheid,Wat is het meervoud van 'crisis'?,crisisen,crisissen,crisi,crises,D,3
Rekenen,Wat is de wortel van 144?,11,13,12,14,C,1
Algemene kennis,Wat is de hoofdstad van Noorwegen?,Helsinki,Oslo,Stockholm,Kopenhagen,B,2
Logisch redeneren,"Als alle X Y zijn en geen Y Z is, wat volgt logisch?",X zijn Z,Sommige X zijn Z,Geen X is Z,Alle Z zijn X,C,3
Taalvaardigheid,Welke zin is correct?,Hun zijn daar,Zij hebben gewonnen,Me moeder belt,Jou boek ligt daar,B,3
Rekenen,Wat is 25% van 240?,60,50,55,65,A,2
Algemene kennis,Wat is de hoofdstad van Noorwegen?,Helsinki,Oslo,Stockholm,Kopenhagen,B,3
Logisch redeneren,"Als 3 = 6 en 4 = 8, wat is dan 5?",9,10,12,11,B,2
Taalvaardigheid,Wat is de juiste spelling?,pannenkoek,pannekoek,panne koek,panenkoek,A,2
Rekenen,"Wat is het gemiddelde van 8, 12 en 16?",12,11,13,14,A,3
Algemene kennis,Wat is de hoofdstad van Noorwegen?,Helsinki,Oslo,Stockholm,Kopenhagen,B,1
Logisch redeneren,"Als alle X Y zijn en geen Y Z is, wat volgt logisch?",X zijn Z,Sommige X zijn Z,Geen X is Z,Alle Z zijn X,C,1
Taalvaardigheid,Welke zin is correct?,Hun zijn daar,Zij hebben gewonnen,Me moeder belt,Jou boek ligt daar,B,1
Rekenen,Wat is de wortel van 144?,11,13,12,14,C,2
Algemene kennis,Wat is de hoofdstad van Noorwegen?,Helsinki,Oslo,Stockholm,Kopenhagen,B,3
Logisch redeneren,"Als alle X Y zijn en geen Y Z is, wat volgt logisch?",X zijn Z,Sommige X zijn Z,Geen X is Z,Alle Z zijn X,C,1
Taalvaardigheid,Wat is de juiste spelling?,pannenkoek,pannekoek,panne koek,panenkoek,A,2
Rekenen,Wat is de wortel van 144?,11,13,12,14,C,2
Algemene kennis,Wie schilderde de Nachtwacht?,Van Gogh,Vermeer,Rembrandt,Mondriaan,C,3
Logisch redeneren,"Als alle X Y zijn en geen Y Z is, wat volgt logisch?",X zijn Z,Sommige X zijn Z,Geen X is Z,Alle Z zijn X,C,3
Taalvaardigheid,Welke zin is correct?,Hun zijn daar,Zij hebben gewonnen,Me moeder belt,Jou boek ligt daar,B,1
Rekenen,"Wat is het gemiddelde van 8, 12 en 16?",12,11,13,14,A,2
Algemene kennis,Wat is het grootste continent?,Afrika,Azië,Europa,Amerika,B,1
Logisch redeneren,"Als 3 = 6 en 4 = 8, wat is dan 5?",9,10,12,11,B,3
Taalvaardigheid,Welke zin is correct?,Hun zijn daar,Zij hebben gewonnen,Me moeder belt,Jou boek ligt daar,B,3
Rekenen,Wat is 25% van 240?,60,50,55,65,A,1
Algemene kennis,Wat is het grootste continent?,Afrika,Azië,Europa,Amerika,B,2
Logisch redeneren,"Voltooi de reeks: 2, 4, 8, 16, ?",32,30,36,24,A,2
Taalvaardigheid,Welke zin is correct?,Hun zijn daar,Zij hebben gewonnen,Me moeder belt,Jou boek ligt daar,B,3
Rekenen,Wat is de wortel van 144?,11,13,12,14,C,2
Algemene kennis,Wie schilderde de Nachtwacht?,Van Gogh,Vermeer,Rembrandt,Mondriaan,C,2
Logisch redeneren,"Als 3 = 6 en 4 = 8, wat is dan 5?",9,10,12,11,B,3
Taalvaardigheid,Welke zin is correct?,Hun zijn daar,Zij hebben gewonnen,Me moeder belt,Jou boek ligt daar,B,1
Rekenen,Wat is 25% van 240?,60,50,55,65,A,1
Algemene kennis,Wat is het grootste continent?,Afrika,Azië,Europa,Amerika,B,1
Logisch redeneren,"Als 3 = 6 en 4 = 8, wat is dan 5?",9,10,12,11,B,2
Taalvaardigheid,Welke zin is correct?,Hun zijn daar,Zij hebben gewonnen,Me moeder belt,Jou boek ligt daar,B,3
Rekenen,Wat is 25% van 240?,60,50,55,65,A,1
Algemene kennis,Wie schilderde de Nachtwacht?,Van Gogh,Vermeer,Rembrandt,Mondriaan,C,2
Logisch redeneren,"Als 3 = 6 en 4 = 8, wat is dan 5?",9,10,12,11,B,2
Taalvaardigheid,Wat is het meervoud van 'crisis'?,crisisen,crisissen,crisi,crises,D,1
Rekenen,Wat is 25% van 240?,60,50,55,65,A,3
Algemene kennis,Wie schilderde de Nachtwacht?,Van Gogh,Vermeer,Rembrandt,Mondriaan,C,2
Logisch redeneren,"Voltooi de reeks: 2, 4, 8, 16, ?",32,30,36,24,A,3
Taalvaardigheid,Welke zin is correct?,Hun zijn daar,Zij hebben gewonnen,Me moeder belt,Jou boek ligt daar,B,2
Rekenen,Wat is de wortel van 144?,11,13,12,14,C,3
Algemene kennis,Wie schilderde de Nachtwacht?,Van Gogh,Vermeer,Rembrandt,Mondriaan,C,1
Logisch redeneren,"Als 3 = 6 en 4 = 8, wat is dan 5?",9,10,12,11,B,1
Taalvaardigheid,Wat is het meervoud van 'crisis'?,crisisen,crisissen,crisi,crises,D,1
Rekenen,Wat is 25% van 240?,60,50,55,65,A,1
Algemene kennis,Wat is de hoofdstad van Noorwegen?,Helsinki,Oslo,Stockholm,Kopenhagen,B,1
Logisch redeneren,"Als alle X Y zijn en geen Y Z is, wat volgt logisch?",X zijn Z,Sommige X zijn Z,Geen X is Z,Alle Z zijn X,C,2
Taalvaardigheid,Wat is de juiste spelling?,pannenkoek,pannekoek,panne koek,panenkoek,A,1
Rekenen,Wat is 25% van 240?,60,50,55,65,A,3
Algemene kennis,Wat is het grootste continent?,Afrika,Azië,Europa,Amerika,B,2
Logisch redeneren,"Als alle X Y zijn en geen Y Z is, wat volgt logisch?",X zijn Z,Sommige X zijn Z,Geen X is Z,Alle Z zijn X,C,3
Taalvaardigheid,Wat is de juiste spelling?,pannenkoek,pannekoek,panne koek,panenkoek,A,1
Rekenen,Wat is 25% van 240?,60,50,55,65,A,3
Algemene kennis,Wie schilderde de Nachtwacht?,Van Gogh,Vermeer,Rembrandt,Mondriaan,C,2
Logisch redeneren,"Als 3 = 6 en 4 = 8, wat is dan 5?",9,10,12,11,B,1
Taalvaardigheid,Wat is het meervoud van 'crisis'?,crisisen,crisissen,crisi,crises,D,1
Rekenen,Wat is 25% van 240?,60,50,55,65,A,2
Algemene kennis,Wat is de hoofdstad van Noorwegen?,Helsinki,Oslo,Stockholm,Kopenhagen,B,3
Logisch redeneren,"Voltooi de reeks: 2, 4, 8, 16, ?",32,30,36,24,A,2
Taalvaardigheid,Wat is het meervoud van 'crisis'?,crisisen,crisissen,crisi,crises,D,1
Rekenen,Wat is de wortel van 144?,11,13,12,14,C,1
Algemene kennis,Wie schilderde de Nachtwacht?,Van Gogh,Vermeer,Rembrandt,Mondriaan,C,2
Logisch redeneren,"Als alle X Y zijn en geen Y Z is, wat volgt logisch?",X zijn Z,Sommige X zijn Z,Geen X is Z,Alle Z zijn X,C,3
Taalvaardigheid,Welke zin is correct?,Hun zijn daar,Zij hebben gewonnen,Me moeder belt,Jou boek ligt daar,B,1
Rekenen,"Wat is het gemiddelde van 8, 12 en 16?",12,11,13,14,A,2
Algemene kennis,Wat is de hoofdstad van Noorwegen?,Helsinki,Oslo,Stockholm,Kopenhagen,B,2
Logisch redeneren,"Als 3 = 6 en 4 = 8, wat is dan 5?",9,10,12,11,B,3
Taalvaardigheid,Wat is het meervoud van 'crisis'?,crisisen,crisissen,crisi,crises,D,3
Rekenen,Wat is 25% van 240?,60,50,55,65,A,3
Algemene kennis,Wie schilderde de Nachtwacht?,Van Gogh,Vermeer,Rembrandt,Mondriaan,C,1
Logisch redeneren,"Als 3 = 6 en 4 = 8, wat is dan 5?",9,10,12,11,B,1
Taalvaardigheid,Wat is het meervoud van 'crisis'?,crisisen,crisissen,crisi,crises,D,1
Rekenen,Wat is 25% van 240?,60,50,55,65,A,1
Algemene kennis,Wie schilderde de Nachtwacht?,Van Gogh,Vermeer,Rembrandt,Mondriaan,C,2
Logisch redeneren,"Als alle X Y zijn en geen Y Z is, wat volgt logisch?",X zijn Z,Sommige X zijn Z,Geen X is Z,Alle Z zijn X,C,3
Taalvaardigheid,Welke zin is correct?,Hun zijn daar,Zij hebben gewonnen,Me moeder belt,Jou boek ligt daar,B,1
Rekenen,Wat is de wortel van 144?,11,13,12,14,C,1
Algemene kennis,Wat is het grootste continent?,Afrika,Azië,Europa,Amerika,B,2
Logisch redeneren,"Als 3 = 6 en 4 = 8, wat is dan 5?",9,10,12,11,B,2
Taalvaardigheid,Welke zin is correct?,Hun zijn daar,Zij hebben gewonnen,Me moeder belt,Jou boek ligt daar,B,3
Rekenen,Wat is 25% van 240?,60,50,55,65,A,2
Algemene kennis,Wie schilderde de Nachtwacht?,Van Gogh,Vermeer,Rembrandt,Mondriaan,C,3
Logisch redeneren,"Voltooi de reeks: 2, 4, 8, 16, ?",32,30,36,24,A,2
Taalvaardigheid,Wat is de juiste spelling?,pannenkoek,pannekoek,panne koek,panenkoek,A,1
Rekenen,Wat is 25% van 240?,60,50,55,65,A,2
Algemene kennis,Wie schilderde de Nachtwacht?,Van Gogh,Vermeer,Rembrandt,Mondriaan,C,1
Logisch redeneren,"Als 3 = 6 en 4 = 8, wat is dan 5?",9,10,12,11,B,2
Taalvaardigheid,Wat is de juiste spelling?,pannenkoek,pannekoek,panne koek,panenkoek,A,3
Rekenen,Wat is 25% van 240?,60,50,55,65,A,1
Algemene kennis,Wat is het grootste continent?,Afrika,Azië,Europa,Amerika,B,3
Logisch redeneren,"Voltooi de reeks: 2, 4, 8, 16, ?",32,30,36,24,A,3
Taalvaardigheid,Wat is de juiste spelling?,pannenkoek,pannekoek,panne koek,panenkoek,A,3
Rekenen,Wat is 25% van 240?,60,50,55,65,A,3
Algemene kennis,Wat is de hoofdstad van Noorwegen?,Helsinki,Oslo,Stockholm,Kopenhagen,B,2
Logisch redeneren,"Voltooi de reeks: 2, 4, 8, 16, ?",32,30,36,24,A,2
Taalvaardigheid,Wat is het meervoud van 'crisis'?,crisisen,crisissen,crisi,crises,D,2
Rekenen,"Wat is het gemiddelde van 8, 12 en 16?",12,11,13,14,A,3
Algemene kennis,Wat is het grootste continent?,Afrika,Azië,Europa,Amerika,B,2
Logisch redeneren,"Als 3 = 6 en 4 = 8, wat is dan 5?",9,10,12,11,B,1
Taalvaardigheid,Welke zin is correct?,Hun zijn daar,Zij hebben gewonnen,Me moeder belt,Jou boek ligt daar,B,2
Rekenen,"Wat is het gemiddelde van 8, 12 en 16?",12,11,13,14,A,1
Algemene kennis,Wat is het grootste continent?,Afrika,Azië,Europa,Amerika,B,1
Logisch redeneren,"Als 3 = 6 en 4 = 8, wat is dan 5?",9,10,12,11,B,3
Taalvaardigheid,Wat is de juiste spelling?,pannenkoek,pannekoek,panne koek,panenkoek,A,1
Rekenen,Wat is 25% van 240?,60,50,55,65,A,3
Algemene kennis,Wat is de hoofdstad van Noorwegen?,Helsinki,Oslo,Stockholm,Kopenhagen,B,1
Logisch redeneren,"Voltooi de reeks: 2, 4, 8, 16, ?",32,30,36,24,A,2
Taalvaardigheid,Wat is het meervoud van 'crisis'?,crisisen,crisissen,crisi,crises,D,3
Rekenen,Wat is 25% van 240?,60,50,55,65,A,3
Algemene kennis,Wie schilderde de Nachtwacht?,Van Gogh,Vermeer,Rembrandt,Mondriaan,C,1
Logisch redeneren,"Als alle X Y zijn en geen Y Z is, wat volgt logisch?",X zijn Z,Sommige X zijn Z,Geen X is Z,Alle Z zijn X,C,3
Taalvaardigheid,Wat is de juiste spelling?,pannenkoek,pannekoek,panne koek,panenkoek,A,2
Rekenen,Wat is de wortel van 144?,11,13,12,14,C,3
Algemene kennis,Wat is de hoofdstad van Noorwegen?,Helsinki,Oslo,Stockholm,Kopenhagen,B,2
Logisch redeneren,"Als 3 = 6 en 4 = 8, wat is dan 5?",9,10,12,11,B,3
Taalvaardigheid,Welke zin is correct?,Hun zijn daar,Zij hebben gewonnen,Me moeder belt,Jou boek ligt daar,B,3
Rekenen,Wat is de wortel van 144?,11,13,12,14,C,3
Algemene kennis,Wat is de hoofdstad van Noorwegen?,Helsinki,Oslo,Stockholm,Kopenhagen,B,2
Logisch redeneren,"Als 3 = 6 en 4 = 8, wat is dan 5?",9,10,12,11,B,3
Taalvaardigheid,Welke zin is correct?,Hun zijn daar,Zij hebben gewonnen,Me moeder belt,Jou boek ligt daar,B,1
Rekenen,"Wat is het gemiddelde van 8, 12 en 16?",12,11,13,14,A,1
Algemene kennis,Wat is het grootste continent?,Afrika,Azië,Europa,Amerika,B,3
Logisch redeneren,"Als 3 = 6 en 4 = 8, wat is dan 5?",9,10,12,11,B,3
Taalvaardigheid,Wat is het meervoud van 'crisis'?,crisisen,crisissen,crisi,crises,D,2
Rekenen,Wat is 25% van 240?,60,50,55,65,A,1
Algemene kennis,Wat is de hoofdstad van Noorwegen?,Helsinki,Oslo,Stockholm,Kopenhagen,B,2
Logisch redeneren,"Voltooi de reeks: 2, 4, 8, 16, ?",32,30,36,24,A,3
Taalvaardigheid,Wat is het meervoud van 'crisis'?,crisisen,crisissen,crisi,crises,D,3
Rekenen,Wat is de wortel van 144?,11,13,12,14,C,2
Algemene kennis,Wat is het grootste continent?,Afrika,Azië,Europa,Amerika,B,2
Logisch redeneren,"Voltooi de reeks: 2, 4, 8, 16, ?",32,30,36,24,A,3
Taalvaardigheid,Wat is de juiste spelling?,pannenkoek,pannekoek,panne koek,panenkoek,A,1
Rekenen,"Wat is het gemiddelde van 8, 12 en 16?",12,11,13,14,A,2
Algemene kennis,Wie schilderde de Nachtwacht?,Van Gogh,Vermeer,Rembrandt,Mondriaan,C,1
Logisch redeneren,"Voltooi de reeks: 2, 4, 8, 16, ?",32,30,36,24,A,3
Taalvaardigheid,Wat is de juiste spelling?,pannenkoek,pannekoek,panne koek,panenkoek,A,3
Rekenen,Wat is 25% van 240?,60,50,55,65,A,1
Algemene kennis,Wat is de hoofdstad van Noorwegen?,Helsinki,Oslo,Stockholm,Kopenhagen,B,3
Logisch redeneren,"Voltooi de reeks: 2, 4, 8, 16, ?",32,30,36,24,A,2
Taalvaardigheid,Welke zin is correct?,Hun zijn daar,Zij hebben gewonnen,Me moeder belt,Jou boek ligt daar,B,1
Rekenen,Wat is 25% van 240?,60,50,55,65,A,2
Algemene kennis,Wat is de hoofdstad van Noorwegen?,Helsinki,Oslo,Stockholm,Kopenhagen,B,2
Logisch redeneren,"Als alle X Y zijn en geen Y Z is, wat volgt logisch?",X zijn Z,Sommige X zijn Z,Geen X is Z,Alle Z zijn X,C,3
